year,type,item_id,gender,population_1000,fully_agree,rather_agree,rather_disagree,not_at_all
2006,barrier,bad_experience,men,1370.6,0.0,0.0,23.7,76.3
2006,barrier,no_contribution,men,1370.6,0.0,15.7,28.6,55.7
2006,barrier,wrong_age,men,1370.6,17.8,6.0,23.7,52.5
2006,barrier,lack_information,men,1370.6,13.3,21.6,19.7,45.3
2006,barrier,nothing_nearby,men,1370.6,16.6,22.7,27.5,33.2
2006,barrier,never_asked,women,1753.8,44.0,18.4,16.6,21.0
2006,barrier,never_thought,women,1753.8,35.6,24.7,20.4,19.4
2006,barrier,family_burden,women,1753.8,55.5,17.0,14.4,13.1
2006,barrier,illness_disability,women,1753.8,16.9,5.3,15.3,62.6
2006,barrier,financial,women,1753.8,13.4,10.2,26.4,50.1
2006,barrier,work_incompatible,women,1753.8,10.2,12.8,17.1,59.9
2006,barrier,bad_experience,women,1753.8,0.0,0.0,10.4,89.6
2006,barrier,no_contribution,women,1753.8,9.0,9.7,24.6,56.8
2006,barrier,wrong_age,women,1753.8,23.5,10.7,18.6,47.2
2006,barrier,lack_information,women,1753.8,11.1,32.1,24.5,32.3
2006,barrier,nothing_nearby,women,1753.8,25.2,27.1,23.1,24.7
